t,price
1871-01-01,1.490654376444133
1872-01-01,1.5810384379124028
1873-01-01,1.6311994042156132
1874-01-01,1.539015448137555
1875-01-01,1.5129270120532568
1876-01-01,1.4951487660319732
1877-01-01,1.266947603487324
1878-01-01,1.178654996341646
1879-01-01,1.275362800412609
1880-01-01,1.6311994042156132
1881-01-01,1.8229350866965048
1882-01-01,1.778336448895914
1883-01-01,1.75958057086382
1884-01-01,1.6448050562713922
1885-01-01,1.444563269243866
1886-01-01,1.6486586255873822
1887-01-01,1.71918877639322
1888-01-01,1.6695918352538476
1889-01-01,1.656321498332951
1890-01-01,1.6826883741736932
1891-01-01,1.5769147207285402
1892-01-01,1.7065646231648232
1893-01-01,1.724550719534605
1894-01-01,1.463255402256019
1895-01-01,1.446918982936325
1896-01-01,1.4516138272405332
1897-01-01,1.43983512804792
1898-01-01,1.585145219865056
1899-01-01,1.805004695978076
1900-01-01,1.8082887711792648
1901-01-01,1.9558604799084812
1902-01-01,2.0943301541735872
1903-01-01,2.135349173618132
1904-01-01,1.899117987548554
1905-01-01,2.131796772013764
1906-01-01,2.28949985344539
1907-01-01,2.25758772706331
1908-01-01,1.924248652274134
1909-01-01,2.203869120054888
1910-01-01,2.3105532626432228
1911-01-01,2.226783379577764
1912-01-01,2.21046980408624
1913-01-01,2.23001440015921
1914-01-01,2.124653884501384
1915-01-01,2.012232791986386
1916-01-01,2.2332350148592532
1917-01-01,2.2586332054648632
1918-01-01,1.975468951296858
1919-01-01,2.0605135317943168
1920-01-01,2.1781550146158688
1921-01-01,1.9615022438151492
1922-01-01,1.987874348154346
1923-01-01,2.186051276738094
1924-01-01,2.1781550146158688
1925-01-01,2.3589654264301528
1926-01-01,2.5376572151735292
1927-01-01,2.5952547069568664
1928-01-01,2.8639136989331432
1929-01-01,3.2132600860825648
1930-01-01,3.0777729838902008
1931-01-01,2.7713379403381292
1932-01-01,2.1162555148025528
1933-01-01,1.958685340544036
1934-01-01,2.355177543113216
1935-01-01,2.225704048658088
1936-01-01,2.621765832505198
1937-01-01,2.8673305587494668
1938-01-01,2.4256872901280292
1939-01-01,2.525728644308256
1940-01-01,2.509599262378372
1941-01-01,2.3561258599220752
1942-01-01,2.1894163948884076
1943-01-01,2.311544834365518
1944-01-01,2.4723278675811404
1945-01-01,2.601948670219664
1946-01-01,2.891482252180192
1947-01-01,2.721953106271202
1948-01-01,2.6966521561498408
1949-01-01,2.731766727719526
1950-01-01,2.8261294891678112
1951-01-01,3.0544727685765908
1952-01-01,3.1859393246219356
1953-01-01,3.2649957604817536
1954-01-01,3.2371085931292608
1955-01-01,3.5723456378579848
1956-01-01,3.7875929270499688
1957-01-01,3.816172679771312
1958-01-01,3.7164946211469104
1959-01-01,4.0185428488058184
1960-01-01,4.0609601182025168
1961-01-01,4.0896669726709904
1962-01-01,4.2351204831008816
1963-01-01,4.1753099210452056
1964-01-01,4.336636932375072
1965-01-01,4.4557416724961632
1966-01-01,4.5360344471532288
1967-01-01,4.4361596432538096
1968-01-01,4.5542978556143352
1969-01-01,4.6249728132842704
1970-01-01,4.5032481962627072
1971-01-01,4.537854478703224
1972-01-01,4.6376373761255928
1973-01-01,4.7740687224499048
1974-01-01,4.5654933688351928
1975-01-01,4.2844138058068808
1976-01-01,4.5732666369750824
1977-01-01,4.642465970731788
1978-01-01,4.5025835972129904
1979-01-01,4.6022659728407016
1980-01-01,4.7086288943563208
1981-01-01,4.8903491282217536
1982-01-01,4.7647347556594312
1983-01-01,4.9718944657798248
1984-01-01,5.114394528387108
1985-01-01,5.1452244604142112
1986-01-01,5.3384511242876832
1987-01-01,5.5778790577670456
1988-01-01,5.5233790770181512
1989-01-01,5.6539267429712968
1990-01-01,5.8288573784231264
1991-01-01,5.7853317392104888
1992-01-01,6.0308775494648176
1993-01-01,6.0758746269894352
1994-01-01,6.1633148040346416
1995-01-01,6.14257489552236
1996-01-01,6.4206787333869888
1997-01-01,6.6414693347710848
1998-01-01,6.8704271737161376
1999-01-01,7.1299143458505248
2000-01-01,7.2623410421015936
2001-01-01,7.1971583696321504
2002-01-01,7.0389677349501824
2003-01-01,6.7977618256005824
2004-01-01,7.0322005172454016
2005-01-01,7.0744639193709152
2006-01-01,7.1536226768698216
2007-01-01,7.2613374452106208
2008-01-01,7.2289398234879184
2009-01-01,6.7633998024648416
2010-01-01,7.0242752951428672
2011-01-01,7.1566601399192448
2012-01-01,7.1705655977987488
2013-01-01,7.3000676005120016
2014-01-01,7.5078876433738944
2015-01-01,7.6148941181688192
2016-01-01,7.559351032383848
