t,gnp
2005-01-01,14215.9
2005-04-01,14276.5
2005-07-01,14405.8
2005-10-01,14455.3
2006-01-01,14629.9
2006-04-01,14667.4
2006-07-01,14666.0
2006-10-01,14791.1
2007-01-01,14800.5
2007-04-01,14935.3
2007-07-01,15093.7
2007-10-01,15193.5
2008-01-01,15074.5
2008-04-01,15150.6
2008-07-01,15094.5
2008-10-01,14699.7
2009-01-01,14504.2
2009-04-01,14480.6
2009-07-01,14581.7
2009-10-01,14712.6
2010-01-01,14790.0
2010-04-01,14932.9
2010-07-01,15026.4
2010-10-01,15133.8
2011-01-01,15086.5
2011-04-01,15195.1
2011-07-01,15249.1
2011-10-01,15433.2
2012-01-01,15512.6
2012-04-01,15564.4
2012-07-01,15587.5
2012-10-01,15584.0
2013-01-01,15686.8
2013-04-01,15732.6
2013-07-01,15858.4
2013-10-01,16010.8
2014-01-01,15961.5
2014-04-01,16106.1
2014-07-01,16316.0
2014-10-01,16386.4
2015-01-01,16453.3
2015-04-01,16545.7
2015-07-01,16614.0
2015-10-01,16668.4
2016-01-01,16668.3
2016-04-01,16757.6
2016-07-01,16897.4
2016-10-01,17017.6
